"question_id","question","answer","created_at","updated_at","is_active"
1,"あなたはゴルフをしますか。","Do you play golf?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
2,"あなたはピアノの練習をしますか。","Do you practice the piano?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
3,"あなたは経済学を教えていますか。","Do you teach economics? [èkənάmɪks]","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
4,"あなたは毎日ジョギングをしていますか。","Do you jog every day? [dʒάg]","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
5,"あなたは毎朝シャワーを浴びますか。","Do you take a shower every morning?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
6,"あなたは毎日ビルに会いますか。","Do you see Bill every day?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
7,"彼は出版社で働いているのですか。","Does he work for a publishing company?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
8,"彼は毎日残業するのですか。","Does he work overtime every day?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
9,"彼は毎月出張するのですか。","Does he travel on business every month?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
10,"彼女はポルトガル語を話しますか。","Does she speak Portuguese?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
11,"彼女は毎日庭を掃除するのですか。","Does she clean the yard every day?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
12,"彼女は歩いて学校に行くのですか。","Does she go to school on foot?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
13,"あなたのお父さんは会社へ車で行くのですか。","Does your father drive to the office?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
14,"あなたのお母さんはギリシャ語を話しますか。","Does your mother speak Greek?	/[griːk]","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
15,"あなたのお姉さんは毎日バイオリンの練習をするのですか。","Does your sister practice the violin every day?	","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
16,"あなたのおばあさんは毎日午後昼寝をするのですか。","Does your grandmother take a nap every afternoon?	/[næp]","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
17,"あなたのお兄さんはワンルームマンションに住んでいるのですか。","Does your brother live in a studio?	/[stúːdiòu]","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
18,"あなたのお兄さんは大蔵省で働いているのですか。","Does your brother work for the Finance Ministry?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
19,"あなたのお兄さんはどこで働いていますか。","Where does your older brother work?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
20,"あなたの妹さんはどこでオランダ語を学んでいますか。","Where does your little sister study Dutch?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
21,"あなたは毎日どこで昼食を食べますか。","Where do you have lunch every day?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
22,"ビルはどこに住んでいますか。","Where does Bill live?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
23,"あなたは毎朝どこで電車を乗り換えますか。","Where do you change trains every morning?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
24,"あなたのお父さんは何が好きですか。","What does your father like?","2025-09-24 22:58:56","2025-09-24 22:58:56",TRUE
